Date,Dividend
1/7/2022,0.61
7/4/2022,0.38
6/1/2022,0.15
8/10/2021,0.48
1/7/2021,0.20
7/4/2021,0.25
6/1/2021,0.08
9/10/2020,0.18
1/7/2020,0.09
7/4/2020,0.19
6/1/2020,0.19
10/10/2019,0.37
1/7/2019,0.36
5/4/2019,0.32
4/1/2019,0.22
5/10/2018,0.43
2/7/2018,0.19
4/4/2018,0.21
4/1/2018,0.17
5/10/2017,0.38
3/7/2017,0.16
4/4/2017,0.20
4/1/2017,0.24
5/10/2016,0.33
1/7/2016,0.62
4/4/2016,0.20
30/12/2015,0.22
7/10/2015,0.40
1/7/2015,0.80
7/4/2015,0.28
30/12/2014,0.22
7/10/2014,0.41
1/7/2014,0.11
3/4/2014,0.22
30/12/2013,0.25
3/10/2013,0.37
1/7/2013,0.15
2/4/2013,0.26
10/12/2012,0.22
14/9/2012,0.14
2/7/2012,0.23
5/3/2012,0.11
9/12/2011,0.21
9/9/2011,0.13
1/7/2011,0.30
7/3/2011,0.03